site,comparison,mean_diff_mae,t_statistic,p_value_ttest,ttest_significant,cohens_d,ci_lower,ci_upper,dm_mdm_statistic,p_value_dm,dm_h0_rejected
UK-AMo,TEMPO Fine-Tuned vs Random Forest,-0.2413,-186.1352,0.0,True,0.1395,-0.2438,-0.2388,-6.4982,8.13158015334614e-11,True
UK-AMo,TEMPO Fine-Tuned vs TEMPO Zero-Shot,-0.3017,-198.8807,0.0,True,0.1468,-0.3047,-0.2988,-37.8956,0.0,True
UK-AMo,TEMPO Zero-Shot vs Random Forest,0.0604,30.3568,2.6089692118203384e-202,True,0.0304,0.0565,0.0643,31.6993,2.1262564584834805e-220,True
UK-AMo,TEMPO Fine-Tuned vs XGBoost,-0.5953,-421.5846,0.0,True,0.3366,-0.598,-0.5925,-41.6579,0.0,True
UK-AMo,TEMPO Fine-Tuned vs LSTM,-0.5179,-266.7159,0.0,True,0.2593,-0.5217,-0.5141,-43.9658,0.0,True
UK-AMo,TEMPO Zero-Shot vs XGBoost,-0.2935,-159.1471,0.0,True,0.1452,-0.2971,-0.2899,14.8769,4.719552412220012e-50,True
UK-AMo,TEMPO Zero-Shot vs LSTM,-0.2161,-91.0419,0.0,True,0.0972,-0.2208,-0.2115,-3.5059,0.00045504328680393447,True
UK-AMo,XGBoost vs Random Forest,0.354,320.6016,0.0,True,0.2096,0.3518,0.3561,46.5287,0.0,True
UK-AMo,XGBoost vs LSTM,0.0774,37.2222,5.1851469074101215e-303,True,0.0394,0.0733,0.0814,-18.9995,1.78749541652785e-80,True
UK-AMo,Random Forest vs LSTM,-0.2766,-149.3909,0.0,True,0.1436,-0.2802,-0.273,-40.7353,0.0,True
SE-Htm,TEMPO Fine-Tuned vs XGBoost,-1.957,-402.2106,0.0,True,0.5534,-1.9665,-1.9475,-108.1508,0.0,True
SE-Htm,TEMPO Fine-Tuned vs TEMPO Zero-Shot,0.1755,75.2175,0.0,True,0.0644,0.171,0.1801,21.3191,8.409985203855412e-101,True
SE-Htm,TEMPO Zero-Shot vs XGBoost,-2.1325,-400.2272,0.0,True,0.6078,-2.143,-2.1221,-107.6618,0.0,True
SE-Htm,TEMPO Fine-Tuned vs Random Forest,-1.9179,-384.8055,0.0,True,0.5342,-1.9277,-1.9081,-105.3147,0.0,True
SE-Htm,TEMPO Fine-Tuned vs LSTM,-2.0361,-386.2814,0.0,True,0.5529,-2.0464,-2.0257,-79.264,0.0,True
SE-Htm,TEMPO Zero-Shot vs Random Forest,-2.0934,-385.4163,0.0,True,0.5875,-2.1041,-2.0828,-106.319,0.0,True
SE-Htm,TEMPO Zero-Shot vs LSTM,-2.2116,-392.8855,0.0,True,0.6049,-2.2226,-2.2005,-79.9834,0.0,True
SE-Htm,XGBoost vs Random Forest,0.0391,27.904,3.271673012427921e-171,True,0.0093,0.0363,0.0418,-6.2929,3.117558905467687e-10,True
SE-Htm,XGBoost vs LSTM,-0.0791,-27.4614,6.833700569644172e-166,True,0.0184,-0.0847,-0.0734,-11.0701,1.766719859409191e-28,True
SE-Htm,Random Forest vs LSTM,-0.1181,-39.5717,0.0,True,0.0272,-0.124,-0.1123,-9.0877,1.014952380938463e-19,True
